candidate_id,rank,score,reasoning
CAND_0002025,1,76.7919,"Strengths\n✓ 9 core AI skills\n✓ 5.9y professional\n✓ Deployed production systems\nWeaknesses\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Highly Recommended\nRisk: Medium"
CAND_0018499,2,75.8760,"Strengths\n✓ 8 core AI skills\n✓ 7.2y ML/AI\n✓ Deployed production systems\nWeaknesses\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Highly Recommended\nRisk: Medium"
CAND_0046064,3,73.9811,"Strengths\n✓ 5 strong skills: Python, LoRA, QLoRA\n✓ 8.9y ML/AI\n✓ Deployed production systems\nWeaknesses\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Recommended\nRisk: Medium"
CAND_0077337,4,73.2524,"Strengths\n✓ 8 core AI skills\n✓ 7.0y ML/AI\n✓ Deployed production systems\nWeaknesses\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Recommended\nRisk: Medium"
CAND_0086022,5,73.0390,"Strengths\n✓ 7 strong skills: NLP, LLM, Fine-tuning LLMs\n✓ 5.3y professional\n✓ Deployed production systems\nWeaknesses\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Recommended\nRisk: Medium"
CAND_0011687,6,72.8953,"Strengths\n✓ Skills: PEFT, Embeddings, FAISS\n✓ 7.8y ML/AI\n✓ Deployed production systems\nWeaknesses\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Recommended\nRisk: Medium"
CAND_0071974,7,71.3507,"Strengths\n✓ 8 core AI skills\n✓ 7.8y ML/AI\n✓ Production ML exp\nWeaknesses\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Recommended\nRisk: Medium"
CAND_0005649,8,70.8593,"Strengths\n✓ 7 strong skills: LLM, Fine-tuning LLMs, LoRA\n✓ 7.4y ML/AI\n✓ Deployed production systems\nWeaknesses\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Recommended\nRisk: Medium"
CAND_0079387,9,70.2184,"Strengths\n✓ Skills: Python, LoRA, QLoRA\n✓ 6.9y professional\n✓ Production ML exp\nWeaknesses\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Recommended\nRisk: Medium"
CAND_0081846,10,70.0737,"Strengths\n✓ Skills: Python, Embeddings, Retrieval\n✓ 6.7y professional\n✓ Deployed production systems\nWeaknesses\n• No GitHub profile\nAvailability: Passive candidate, Extended notice\n\nRecommendation: Recommended\nRisk: Medium"
